Name	RMSD	Prob	RMSD*Prob	RMSD+Prob
232	3.3735	0.9998	3.3729	4.3733
233	3.9236	1.0	3.9234	4.9235
234	2.7042	0.9999	2.704	3.7041
235	2.4944	1.0	2.4944	3.4944
236	3.4152	0.9999	3.4149	4.4151
237	2.485	0.9751	2.4231	3.4601
238	2.7796	0.9995	2.7783	3.7791
239	3.0043	0.9997	3.0035	4.004
240	1.8546	0.9895	1.8351	2.8441
241	3.9542	1.0	3.9542	4.9542
242	2.4091	0.9181	2.2117	3.3271
243	3.6804	1.0	3.6803	4.6804
244	1.0704	1.0	1.0704	2.0704
245	3.2717	0.9971	3.262	4.2687
246	3.0418	0.9997	3.041	4.0415
247	3.1819	0.9999	3.1815	4.1817
248	2.5446	0.9995	2.5434	3.5441
249	2.9203	0.9978	2.914	3.9181
250	1.2492	0.9844	1.2297	2.2336
251	1.8202	0.989	1.8001	2.8091
252	5.1092	0.9993	5.1059	6.1085
253	3.4416	0.9996	3.4403	4.4412
254	3.7704	0.9994	3.768	4.7697
255	2.7521	0.9999	2.7518	3.752
256	2.1049	0.9999	2.1047	3.1048
257	2.7149	1.0	2.7149	3.7149
258	2.7923	0.9999	2.7919	3.7921
259	3.1795	1.0	3.1794	4.1794
260	3.5826	1.0	3.5824	4.5826
261	0.9548	0.9999	0.9547	1.9547
262	3.3286	0.9981	3.3224	4.3268
263	2.442	1.0	2.442	3.442
264	1.3425	0.9999	1.3425	2.3425
265	1.5387	0.9934	1.5286	2.5322
266	1.9077	0.9985	1.9048	2.9061
267	3.7687	1.0	3.7687	4.7687
268	2.8486	0.998	2.8429	3.8466
269	3.9902	1.0	3.9901	4.9902
270	2.4936	0.9999	2.4935	3.4935
271	2.1217	0.9984	2.1183	3.1201
272	3.4611	1.0	3.461	4.4611
273	2.9014	0.9994	2.8997	3.9008
274	2.8305	0.9996	2.8294	3.8302
275	2.7325	0.9999	2.7323	3.7324
276	4.2228	0.9969	4.2096	5.2196
277	3.4917	1.0	3.4917	4.4917
278	2.2543	1.0	2.2542	3.2542
279	2.9879	1.0	2.9878	3.9879
280	2.0859	1.0	2.0858	3.0858
281	2.7007	1.0	2.7007	3.7007
282	2.4692	1.0	2.4691	3.4691
283	2.7021	1.0	2.7021	3.7021
284	3.3524	1.0	3.3524	4.3524
285	5.3331	1.0	5.3331	6.3331
286	4.2502	0.9999	4.2496	5.2501
287	2.7315	0.9997	2.7306	3.7312
288	3.8982	1.0	3.8982	4.8982
289	0.7485	0.9985	0.7474	1.747
290	2.1802	0.9999	2.1799	3.1801
291	3.7522	0.9989	3.7482	4.7511
292	2.6661	0.9997	2.6654	3.6658
293	2.4775	0.9997	2.4766	3.4771
294	0.9211	0.9994	0.9206	1.9205
295	3.8726	0.9999	3.8721	4.8724
296	3.0024	0.9902	2.973	3.9926
297	4.012	0.9998	4.0114	5.0119
298	3.9645	1.0	3.9643	4.9645
299	2.6346	0.9997	2.6337	3.6343
300	2.9147	0.9998	2.914	3.9145
301	2.5349	0.9999	2.5346	3.5348
302	6.2137	1.0	6.2135	7.2137
303	5.1774	0.9999	5.177	6.1773
304	1.2251	0.9721	1.1909	2.1972
305	3.9669	1.0	3.9668	4.9669
306	3.4961	0.9997	3.4951	4.4958
307	3.0389	0.9937	3.0197	4.0326
308	4.3226	1.0	4.3225	5.3225
309	2.5319	0.9998	2.5315	3.5318
310	0.9986	0.9883	0.9869	1.9869
311	1.0573	0.7628	0.8065	1.8201
312	2.1696	1.0	2.1695	3.1696
313	3.7059	1.0	3.7059	4.7059
314	3.9552	0.9942	3.9322	4.9494
315	4.996	1.0	4.996	5.996
316	3.5565	1.0	3.5565	4.5565
317	1.6466	0.9968	1.6413	2.6434
318	3.2179	0.9982	3.2121	4.2161
319	3.8437	1.0	3.8437	4.8437
320	2.9419	0.9949	2.9269	3.9368
321	3.0868	0.9997	3.0859	4.0865
322	2.1176	0.9953	2.1077	3.113
323	3.4922	1.0	3.492	4.4921
324	4.3028	1.0	4.3027	5.3028
325	3.3624	0.9999	3.362	4.3623
326	2.6387	0.9999	2.6384	3.6386
327	4.6672	1.0	4.6672	5.6672
328	0.6113	0.9973	0.6097	1.6086
329	3.2162	1.0	3.2162	4.2162
330	2.0503	0.9895	2.0288	3.0398
331	2.5122	0.9999	2.5119	3.5121
332	4.6485	1.0	4.6484	5.6484
333	3.6099	1.0	3.6099	4.6099
334	0.8079	0.9816	0.793	1.7895
335	2.3007	0.9993	2.299	3.3
336	4.2587	1.0	4.2587	5.2587
337	1.885	0.9999	1.8847	2.8848
338	0.8969	0.997	0.8942	1.8939
339	3.5325	1.0	3.5323	4.5324
340	0.456	0.8878	0.4048	1.3437
341	3.7826	0.9997	3.7815	4.7823
342	4.6067	0.9987	4.6007	5.6054
343	2.7806	0.9986	2.7768	3.7793
344	3.5576	0.9999	3.5573	4.5576
345	3.7991	0.9996	3.7975	4.7987
346	1.2791	0.9655	1.2349	2.2446
347	0.3042	0.7129	0.2169	1.0171
348	4.054	0.9998	4.0534	5.0539
349	3.7774	0.999	3.7737	4.7765
350	3.5093	0.9998	3.5085	4.509
351	2.8605	0.9997	2.8595	3.8602
352	2.0648	1.0	2.0648	3.0648
353	1.9565	0.9998	1.9562	2.9564
354	2.5384	0.9971	2.5312	3.5356
355	1.8737	0.9919	1.8586	2.8657
356	2.2455	1.0	2.2454	3.2454
357	1.4941	0.9797	1.4639	2.4739
358	3.1891	0.9999	3.1887	4.1889
359	0.9398	1.0	0.9398	1.9398
360	2.7655	0.9983	2.7608	3.7638
361	2.8841	0.9844	2.8391	3.8685
362	1.9972	0.9998	1.9969	2.9971
363	1.897	1.0	1.897	2.897
364	4.176	1.0	4.1759	5.176
365	3.3971	0.9982	3.3911	4.3953
366	2.9978	0.9998	2.9973	3.9976
367	2.427	0.9999	2.4267	3.4269
368	2.2222	0.9999	2.222	3.2221
369	1.8283	1.0	1.8283	2.8283
370	3.5849	0.9999	3.5844	4.5848
371	6.3222	1.0	6.3222	7.3222
372	1.7945	0.9614	1.7252	2.7559
373	2.7174	0.9992	2.7152	3.7166
374	0.6782	0.9815	0.6657	1.6597
375	2.0018	1.0	2.0017	3.0017
376	1.6876	0.9994	1.6866	2.687
377	3.7992	0.9999	3.7988	4.7991
378	3.241	0.9988	3.2369	4.2397
379	3.5325	1.0	3.5325	4.5325
380	5.1329	1.0	5.1329	6.1329
381	3.2843	1.0	3.2843	4.2843
382	6.459	1.0	6.4588	7.459
383	3.5796	1.0	3.5796	4.5796
384	3.4746	1.0	3.4745	4.4746
385	5.9697	1.0	5.9696	6.9697
386	2.1488	0.9996	2.148	3.1484
387	1.5812	0.9973	1.5769	2.5785
388	3.167	0.9992	3.1645	4.1662
389	2.7504	0.9997	2.7496	3.7501
390	3.503	1.0	3.5029	4.503
391	2.4544	0.9802	2.4059	3.4346
392	3.0685	0.9998	3.0678	4.0683
393	1.6835	0.9993	1.6823	2.6828
394	2.4677	0.9949	2.4551	3.4626
395	3.5752	0.9961	3.5614	4.5713
396	1.109	0.9999	1.1089	2.1089
397	1.6409	0.9758	1.6012	2.6167
398	3.1537	1.0	3.1535	4.1536
399	3.6168	0.9986	3.6118	4.6154
400	0.283	0.9883	0.2797	1.2713
401	4.0778	1.0	4.0777	5.0777
402	3.3449	0.9999	3.3445	4.3448
403	3.4635	0.9999	3.4633	4.4635
404	1.9215	0.9919	1.9059	2.9134
405	2.4316	0.9938	2.4164	3.4254
406	2.6088	0.999	2.6061	3.6078
407	2.903	1.0	2.903	3.903
408	3.1019	1.0	3.1018	4.1019
409	2.4645	0.9935	2.4484	3.4579
410	0.5983	0.5626	0.3366	1.161
411	1.9769	0.9969	1.9707	2.9738
412	3.8237	1.0	3.8236	4.8237
413	2.5345	0.9918	2.5137	3.5263
414	2.8247	0.9929	2.8048	3.8177
415	3.31	0.9999	3.3097	4.3099
416	1.0696	0.9908	1.0597	2.0604
417	2.8547	0.9997	2.8539	3.8544
418	2.2891	0.9999	2.2889	3.289
419	2.9201	0.9998	2.9196	3.92
420	3.1327	1.0	3.1327	4.1327
421	3.8484	0.9999	3.8481	4.8483
422	3.5927	0.9998	3.592	4.5925
423	3.7008	0.9998	3.7001	4.7006
424	3.478	0.9999	3.4777	4.4779
425	2.8662	0.9836	2.8191	3.8498
426	2.2482	0.9998	2.2478	3.248
427	3.2678	0.9947	3.2504	4.2625
428	3.7157	1.0	3.7155	4.7156
429	4.6715	1.0	4.6714	5.6715
430	4.0974	1.0	4.0974	5.0974
431	3.8252	1.0	3.8252	4.8252
432	2.9651	1.0	2.9651	3.9651
433	2.7369	0.9952	2.7237	3.7321
434	5.6933	0.9999	5.6929	6.6932
435	2.0666	0.8978	1.8555	2.9645
436	4.066	1.0	4.0659	5.066
437	2.2897	0.9997	2.2889	3.2893
438	1.251	0.9988	1.2495	2.2498
439	3.4113	0.9979	3.4043	4.4092
440	1.7376	0.9999	1.7374	2.7375
441	0.3407	0.9413	0.3207	1.282
442	3.3497	1.0	3.3497	4.3497
443	3.2999	0.9993	3.2975	4.2992
444	1.9018	0.9993	1.9004	2.901
445	3.6059	1.0	3.6059	4.6059
446	3.7231	1.0	3.723	4.7231
447	4.8229	1.0	4.8229	5.8229
448	2.7867	1.0	2.7866	3.7867
449	3.2443	1.0	3.2443	4.2443
450	2.0264	0.9999	2.0261	3.0262
451	3.6496	1.0	3.6496	4.6496
452	3.4765	1.0	3.4764	4.4765
453	1.9122	0.9992	1.9107	2.9114
454	3.0924	1.0	3.0924	4.0924
455	1.4546	0.385	0.5601	1.8396
456	4.4711	1.0	4.4711	5.4711
457	2.3786	0.9995	2.3774	3.3781
458	3.3504	1.0	3.3503	4.3504
459	2.2322	0.9998	2.2317	3.2319
460	4.0863	1.0	4.0863	5.0863
461	3.188	0.9997	3.187	4.1877
462	4.4537	1.0	4.4536	5.4537
463	3.6018	0.9997	3.6009	4.6016
464	2.5796	1.0	2.5795	3.5796
465	2.6865	1.0	2.6865	3.6865
466	2.1009	0.9984	2.0975	3.0993
467	3.8573	1.0	3.8573	4.8573
468	2.8431	0.9995	2.8416	3.8426
469	2.9584	0.9999	2.9582	3.9583
470	2.5953	1.0	2.5953	3.5953
471	1.416	0.5721	0.81	1.9881
472	1.5907	0.9999	1.5906	2.5906
473	2.4767	0.9996	2.4757	3.4763
474	3.9997	0.9999	3.9994	4.9996
475	1.4443	0.9963	1.4389	2.4406
476	2.3636	0.9998	2.3632	3.3634
477	2.9612	0.9974	2.9536	3.9587
478	1.1491	0.9487	1.0901	2.0978
479	3.2275	1.0	3.2274	4.2275
480	3.6251	0.9997	3.6241	4.6248
481	1.0369	0.9244	0.9585	1.9613
482	2.8651	0.9953	2.8516	3.8604
483	1.1537	0.9997	1.1533	2.1534
484	2.3634	0.9997	2.3627	3.3631
485	1.0809	0.9998	1.0806	2.0807
486	0.97	0.9999	0.97	1.97
487	3.9578	1.0	3.9577	4.9578
488	1.3516	0.9901	1.3382	2.3417
489	4.0042	1.0	4.0041	5.0042
490	1.8125	0.972	1.7618	2.7845
491	0.7173	0.8432	0.6049	1.5605
492	2.9403	0.9975	2.9331	3.9379
493	3.8875	0.9994	3.8851	4.8869
494	3.9143	1.0	3.9143	4.9143
495	1.9555	0.8736	1.7083	2.8291
496	4.6372	1.0	4.6372	5.6372
497	3.4376	1.0	3.4375	4.4376
498	2.7889	0.921	2.5685	3.7099
499	3.558	0.9999	3.5577	4.5579
500	5.9275	1.0	5.9275	6.9275
501	2.4144	0.9984	2.4105	3.4128
502	4.1304	1.0	4.1303	5.1304
503	2.5676	0.9925	2.5483	3.5601
504	2.8955	0.9952	2.8817	3.8908
505	3.7985	1.0	3.7985	4.7985
506	4.4232	1.0	4.423	5.4231
507	3.1973	0.9998	3.1967	4.1971
508	1.8994	1.0	1.8994	2.8994
509	2.1452	1.0	2.1452	3.1452
510	4.2606	1.0	4.2605	5.2606
511	2.834	0.9999	2.8337	3.8339
512	3.0129	0.9706	2.9244	3.9835
513	3.4408	1.0	3.4406	4.4407
514	3.5712	0.9999	3.5709	4.5711
515	4.0104	1.0	4.0102	5.0103
516	0.9998	0.9818	0.9816	1.9816
517	3.4136	0.9999	3.4131	4.4134
518	3.7827	0.9995	3.7808	4.7822
519	2.1688	1.0	2.1688	3.1688
520	2.2013	0.9993	2.1997	3.2006
521	2.5492	0.9997	2.5485	3.549
522	4.5324	1.0	4.5324	5.5324
523	2.2363	0.9871	2.2075	3.2234
524	3.0105	0.9271	2.7912	3.9377
525	3.2454	0.9997	3.2444	4.2451
526	3.5213	0.9941	3.5004	4.5154
527	3.1185	0.9999	3.1182	4.1184
528	4.7343	0.9964	4.7172	5.7307
529	2.7454	0.9999	2.7451	3.7453
530	3.5904	0.9995	3.5884	4.5898
531	2.377	1.0	2.3769	3.377
532	3.0786	1.0	3.0785	4.0786
533	3.8211	1.0	3.8211	4.8211
534	4.2576	1.0	4.2576	5.2576
535	2.229	0.9864	2.1988	3.2155
536	3.2621	0.9999	3.2619	4.262
537	1.8657	1.0	1.8657	2.8657
538	3.1611	0.9996	3.1599	4.1607
539	3.1238	0.9992	3.1213	4.123
540	3.4715	0.9999	3.4713	4.4715
541	2.6087	0.9961	2.5985	3.6048
542	3.5041	1.0	3.5041	4.5041
543	3.9035	0.989	3.8606	4.8925
544	2.2168	0.993	2.2014	3.2099
545	2.9163	1.0	2.9163	3.9163
546	3.3052	1.0	3.305	4.3051
547	2.9073	0.9989	2.9041	3.9062
548	4.157	1.0	4.1569	5.157
549	3.5253	1.0	3.5253	4.5253
550	5.334	1.0	5.334	6.334
551	2.3795	0.8924	2.1234	3.2719
552	4.6039	1.0	4.6038	5.6039
553	5.7587	1.0	5.7587	6.7587
554	0.5743	0.9548	0.5483	1.5291
555	0.6553	0.8936	0.5856	1.5489
556	4.5389	1.0	4.5389	5.5389
557	1.2564	0.995	1.2502	2.2515
558	1.9282	0.9958	1.9201	2.924
559	2.6372	0.9915	2.6148	3.6287
560	4.3753	0.9998	4.3742	5.375
561	2.064	0.9995	2.063	3.0635
562	4.0765	0.9998	4.0757	5.0763
563	0.6413	0.9933	0.637	1.6346
564	2.3824	0.9976	2.3767	3.38
565	3.7033	1.0	3.7032	4.7033
566	1.5357	0.9162	1.407	2.4519
567	3.0432	0.9999	3.0429	4.0431
568	2.8213	0.9969	2.8126	3.8182
569	4.8347	1.0	4.8347	5.8347
570	2.4076	0.9873	2.3771	3.3949
571	3.4843	1.0	3.4842	4.4843
572	4.8452	1.0	4.8451	5.8452
573	4.1635	0.9998	4.1625	5.1633
574	2.8036	0.975	2.7336	3.7787
575	2.8712	0.9995	2.8697	3.8707
576	1.854	0.9998	1.8536	2.8538
577	3.772	0.9999	3.7716	4.7719
578	4.0047	1.0	4.0047	5.0047
579	1.7723	0.9982	1.7691	2.7705
580	0.8322	0.9062	0.7542	1.7384
581	3.653	1.0	3.6529	4.6529
582	4.2783	1.0	4.2783	5.2783
583	1.3188	1.0	1.3188	2.3188
584	2.1926	0.9999	2.1923	3.1925
585	2.7903	0.9873	2.7549	3.7776
586	3.6661	1.0	3.666	4.6661
587	2.115	0.9952	2.1048	3.1102
588	0.9295	0.9715	0.903	1.901
589	4.1149	1.0	4.1149	5.1149
590	3.6	1.0	3.5999	4.6
591	1.547	0.9754	1.509	2.5224
592	2.4416	0.999	2.4392	3.4406
593	4.3956	1.0	4.3956	5.3956
594	0.8222	0.985	0.8099	1.8073
595	3.2791	1.0	3.279	4.2791
596	2.1577	0.9904	2.1369	3.1481
597	3.8544	0.9985	3.8486	4.8529
598	3.2893	0.9999	3.2892	4.2893
599	1.0257	0.999	1.0247	2.0247
600	4.0101	1.0	4.0101	5.0101
601	3.0109	1.0	3.0109	4.0109
602	5.3229	0.9999	5.3225	6.3228
603	3.6165	0.9981	3.6097	4.6146
604	2.1892	0.9788	2.1427	3.1679
605	1.9939	0.9994	1.9927	2.9933
606	2.0148	0.9999	2.0146	3.0147
607	3.0802	0.9999	3.08	4.0801
608	0.9989	1.0	0.9989	1.9989
609	2.7012	0.9994	2.6995	3.7006
610	3.3813	0.9999	3.3809	4.3812
611	5.1137	0.9999	5.113	6.1135
612	3.773	1.0	3.773	4.773
613	1.7256	0.9487	1.637	2.6743
614	1.1113	0.2285	0.2539	1.3398
615	2.508	0.8933	2.2403	3.4013
616	4.6468	0.9991	4.6425	5.6459
617	2.85	0.9965	2.8402	3.8466
618	1.2446	0.9462	1.1776	2.1908
619	2.3896	0.9175	2.1924	3.3071
620	2.5682	0.9998	2.5676	3.5679
621	4.0071	0.9998	4.0064	5.0069
622	3.9371	0.9999	3.9367	4.937
623	4.2154	1.0	4.2154	5.2154
624	3.3934	0.9996	3.3921	4.393
625	3.6628	0.9999	3.6626	4.6627
626	2.9659	0.9998	2.9654	3.9658
627	3.8745	1.0	3.8744	4.8744
628	3.1816	1.0	3.1815	4.1816
629	4.0982	1.0	4.098	5.0981
630	2.8283	0.9984	2.8239	3.8268
631	3.8039	1.0	3.8037	4.8039
632	2.1169	0.9992	2.1152	3.1161
633	3.346	0.9994	3.3439	4.3454
634	1.6098	0.9868	1.5885	2.5966
635	0.4813	0.4661	0.2243	0.9474
636	1.0255	0.9932	1.0185	2.0187
637	1.2737	0.9735	1.24	2.2472
638	3.6754	0.9999	3.675	4.6753
639	1.1711	0.9818	1.1498	2.1529
640	1.7621	0.9991	1.7605	2.7612
641	1.3374	0.9999	1.3373	2.3373
642	3.2567	0.9999	3.2564	4.2566
643	3.1829	0.9974	3.1748	4.1804
644	3.5625	0.9999	3.5623	4.5624
645	2.9628	0.9993	2.9608	3.9621
646	3.6829	1.0	3.6829	4.6829
647	3.2837	0.9999	3.2835	4.2836
648	4.0663	1.0	4.0663	5.0663
649	4.3037	0.9986	4.2976	5.3023
650	3.7249	1.0	3.7249	4.7249
651	2.1901	0.9997	2.1893	3.1897
